vmax_bl,vmax_ap,Da,cl_uL_min_cm2,j_bm,j_oat1,j_cd,c_extra_mc,c_cell_mc,c_cell_cd,j_oat1_capacity,j_membrane_capacity,bottleneck,success
5.623413251903491e-06,5.623413251903491e-06,28.599995839282542,10.846764766084911,3.0129902128013653e-07,1.8077941276808187e-07,1.6738834515563137e-07,0.008057789435181336,0.006847001154334743,0.0006135908395454699,5.623413251903491e-06,1.9662286958026913e-07,membrane,True
7.943282347242822e-06,7.943282347242822e-06,40.39856789904118,10.90751088952423,3.029864135978954e-07,1.817918481587372e-07,1.6832578533216408e-07,0.0075428771094600165,0.00670131464256269,0.00043299479294014147,7.943282347242822e-06,1.9662286958026913e-07,membrane,True
1.122018454301963e-05,1.122018454301963e-05,57.064493906387185,10.94957135119912,3.041547597555312e-07,1.824928558533187e-07,1.6897486653085067e-07,0.0071863531221546635,0.00659829450821846,0.0003058033852897268,1.122018454301963e-05,1.9662286958026913e-07,membrane,True
1.584893192461114e-05,1.584893192461114e-05,80.60574010766834,10.978879076476394,3.049688632354555e-07,1.8298131794127325e-07,1.694271462419197e-07,0.006937927245247535,0.006525446543005364,0.0002161128793756894,1.584893192461114e-05,1.9662286958026913e-07,membrane,True
2.238721138568338e-05,2.238721138568338e-05,113.85863421418557,10.999394172105282,3.055387270029246e-07,1.8332323620175471e-07,1.6974373722384697e-07,0.006764031776622055,0.006473925319173573,0.00015280205639062536,2.238721138568338e-05,1.9662286958026913e-07,membrane,True
3.1622776601683795e-05,3.1622776601683795e-05,160.82959560700615,11.013801542032205,3.059389317231169e-07,1.835633590338701e-07,1.6996607317950936e-07,0.006641908224754511,0.006437479753630319,0.00010807687473618308,3.1622776601683795e-05,1.9662286958026913e-07,membrane,True
4.466835921509625e-05,4.466835921509625e-05,227.17784208139065,11.02394318189088,3.062206439414134e-07,1.83732386364848e-07,1.701225799674519e-07,0.006555942980051074,0.006411693685000568,7.646261642338575e-05,4.466835921509625e-05,1.9662286958026913e-07,membrane,True
6.309573444801929e-05,6.309573444801929e-05,320.89723124634367,11.031093934236317,3.0641927595100887e-07,1.838515655706053e-07,1.702329310838938e-07,0.006495329885546266,0.006393446639105457,5.410618174829206e-05,6.309573444801929e-05,1.9662286958026913e-07,membrane,True
8.912509381337459e-05,8.912509381337459e-05,453.2793871009509,11.036141787271783,3.065594940908829e-07,1.839356964545297e-07,1.703108300504905e-07,0.006452541941242979,0.006380532904508873,3.829155090680398e-05,8.912509381337459e-05,1.9662286958026913e-07,membrane,True
0.0001258925411794166,0.0001258925411794166,640.2741524836832,11.039708141802782,3.066585594945218e-07,1.8399513569671304e-07,1.7036586638584545e-07,0.006422311865611947,0.006371392823134035,2.7101959691939687e-05,0.0001258925411794166,1.9662286958026913e-07,membrane,True
0.00017782794100389227,0.00017782794100389227,904.4112792347178,11.04222929706177,3.067285915850492e-07,1.840371549510295e-07,1.704047731028051e-07,0.006400941383937773,0.00636492323088928,1.9183511909275375e-05,0.00017782794100389227,1.9662286958026913e-07,membrane,True
0.0002511886431509577,0.0002511886431509577,1277.5148876993308,11.044012320247807,3.0677812000688363e-07,1.8406687200413012e-07,1.704322888927131e-07,0.006385827652178242,0.006360343662197179,1.3579276842694876e-05,0.0002511886431509577,1.9662286958026913e-07,membrane,True
0.0003548133892335753,0.0003548133892335753,1804.537742689828,11.045273693331668,3.068131581481019e-07,1.8408789488886111e-07,1.7045175452672326e-07,0.006375135668719982,0.006357101854437036,9.612584180491076e-06,0.0003548133892335753,1.9662286958026913e-07,membrane,True
0.0005011872336272725,0.0005011872336272725,2548.9773122381794,11.046166220864079,3.068379505795578e-07,1.8410277034773466e-07,1.7046552809975432e-07,0.0063675701913246605,0.006354806970639906,6.8047833507231e-06,0.0005011872336272725,1.9662286958026913e-07,membrane,True
0.0007079457843841374,0.0007079457843841374,3600.5261539280214,11.046797853392693,3.0685549592757493e-07,1.841132975565449e-07,1.7047527551531937e-07,0.0063622161811630945,0.006353182387939455,4.817214540302551e-06,0.0007079457843841374,1.9662286958026913e-07,membrane,True
0.001,0.001,5085.8783728195,11.047244900392037,3.0686791389977885e-07,1.8412074833986728e-07,1.7048217438876602e-07,0.0063584268030926995,0.006352032306859247,3.4102248703263683e-06,0.001,1.9662286958026913e-07,membrane,True
