vmax_bl,vmax_ap,Da,cl_uL_min_cm2,j_bm,j_oat1,j_cd,c_extra_mc,c_cell_mc,c_cell_cd,j_oat1_capacity,j_membrane_capacity,bottleneck,success
3.162277660168379e-08,3.162277660168379e-07,0.16082959560700613,1.3593523307652962,3.775978696570268e-08,2.2655872179421603e-08,2.0977659425390377e-08,0.08847749896877578,0.002202200968693517,0.0014210094327550642,3.162277660168379e-08,1.9662286958026913e-07,OAT1,True
4.4668359215096346e-08,4.466835921509635e-07,0.22717784208139113,1.871949893081035,5.199860814113987e-08,3.119916488468392e-08,2.8888115633966594e-08,0.08413248420629582,0.0024586538257621716,0.0013828831214150134,4.4668359215096346e-08,1.9662286958026913e-07,OAT1,True
6.30957344480193e-08,6.30957344480193e-07,0.3208972312463437,2.551516155288467,7.087544875801299e-08,4.252526925480778e-08,3.937524931000721e-08,0.07837216527988286,0.0027974879331945594,0.0013311846193814394,6.30957344480193e-08,1.9662286958026913e-07,OAT1,True
8.912509381337459e-08,8.912509381337459e-07,0.4532793871009509,3.427650780939827,9.521252169277299e-08,5.7127513015663784e-08,5.2895845384873884e-08,0.07094564170607126,0.0032316956407721403,0.001261895963710488,8.912509381337459e-08,1.9662286958026913e-07,OAT1,True
1.2589254117941662e-07,1.2589254117941661e-06,0.6402741524836834,4.5100962014259185,1.2528045003960886e-07,7.516827002376531e-08,6.960025002200492e-08,0.06177033266152021,0.0037622744321179776,0.0011704158668008995,1.2589254117941662e-07,1.9662286958026913e-07,OAT1,False
1.7782794100389227e-07,1.7782794100389227e-06,0.9044112792347178,5.76059990207682,1.6001666394657842e-07,9.600999836794703e-08,8.8898146636988e-08,0.051170482572602365,0.004362931444230098,0.0010524343860422861,1.7782794100389227e-07,1.9662286958026913e-07,OAT1,True
2.5118864315095823e-07,2.5118864315095823e-06,1.2775148876993336,7.061799660463063,1.9616110167952956e-07,1.1769666100771773e-07,1.0897838982196086e-07,0.04014090972279271,0.00496532370577976,0.000907054185439639,2.5118864315095823e-07,1.9662286958026913e-07,membrane,True
3.548133892335753e-07,3.5481338923357534e-06,1.804537742689828,8.233601535484697,2.2871115376346387e-07,1.372266922580783e-07,1.2706175209081324e-07,0.030208173368284817,0.005474498022569067,0.0007428183147647628,3.548133892335753e-07,1.9662286958026913e-07,membrane,True
5.011872336272714e-07,5.011872336272714e-06,2.548977312238174,9.139907158660204,2.538863099627835e-07,1.5233178597767008e-07,1.4104794997932415e-07,0.022525906451621565,0.005831669039777955,0.0005791543233073995,5.011872336272714e-07,1.9662286958026913e-07,membrane,True
7.079457843841374e-07,7.079457843841374e-06,3.6005261539280213,9.769386976284954,2.713718604523599e-07,1.628231162714159e-07,1.5076214469575549e-07,0.01719014373974331,0.006049445584339392,0.000435181892306232,7.079457843841374e-07,1.9662286958026913e-07,membrane,True
1e-06,9.999999999999999e-06,5.0858783728195,10.186965812078057,2.829712725577238e-07,1.6978276353463427e-07,1.5720626253206878e-07,0.013650552585377068,0.006173671828883917,0.00031943423456237506,1e-06,1.9662286958026913e-07,membrane,False
1.4125375446227554e-06,1.4125375446227555e-05,7.183994148992432,10.462322446200234,2.906200679500066e-07,1.743720407700039e-07,1.614555933055592e-07,0.011316500902343755,0.006243726108344111,0.000231246806063227,1.4125375446227554e-06,1.9662286958026913e-07,membrane,True
1.9952623149688787e-06,1.9952623149688786e-05,10.14766145580199,10.645707828937956,2.957141063593877e-07,1.7742846381563262e-07,1.6428561464410428e-07,0.009762041315748812,0.006283909937750928,0.00016604286676751159,1.9952623149688787e-06,1.9662286958026913e-07,membrane,True
2.818382931264449e-06,2.818382931264449e-05,14.33395279644149,10.769473265331046,2.9915203514808465e-07,1.7949122108885077e-07,1.6619557508226925e-07,0.008712948055325229,0.006307628906081052,0.00011863641065408786,2.818382931264449e-06,1.9662286958026913e-07,membrane,True
