vmax_bl,vmax_ap,Da,cl_uL_min_cm2,j_bm,j_oat1,j_cd,c_extra_mc,c_cell_mc,c_cell_cd,j_oat1_capacity,j_membrane_capacity,bottleneck,success
3.162277660168379e-07,3.162277660168379e-08,1.6082959560700614,1.4990032182816961,4.163897828560269e-08,2.4983386971361605e-08,2.313276571422371e-08,0.08729375324479069,0.055355522962498585,0.054494076962318866,3.162277660168379e-07,1.9662286958026913e-07,apical,True
5.108969774506934e-07,5.108969774506935e-08,2.5983598883553336,2.3736018996877255,6.593338610243684e-08,3.9560031661462095e-08,3.662965894579824e-08,0.07988024905246086,0.05202735231330896,0.050663292625121224,5.108969774506934e-07,1.9662286958026913e-07,apical,True
8.25404185268019e-07,8.25404185268019e-08,4.197905294689318,3.6913583615505665,1.0253773226529353e-07,6.152263935917612e-08,5.6965406814051964e-08,0.06871033390443934,0.04666905425580297,0.04454770731201948,8.25404185268019e-07,1.9662286958026913e-07,membrane,True
1.333521432163324e-06,1.333521432163324e-07,6.782127811530736,5.516369245909701,1.532324790530473e-07,9.193948743182835e-08,8.512915502947071e-08,0.05324069492624305,0.03847660478857477,0.03530646201336171,1.333521432163324e-06,1.9662286958026913e-07,membrane,True
2.1544346900318865e-06,2.1544346900318867e-07,10.957192795685256,7.566365261366359,2.1017681281573224e-07,1.2610608768943932e-07,1.1676489600874013e-07,0.035863977597198136,0.028013937096854465,0.023665704210542725,2.1544346900318865e-06,1.9662286958026913e-07,membrane,True
3.480700588428413e-06,3.480700588428413e-07,17.702419844948174,9.142432206013448,2.5395645016704026e-07,1.5237387010022413e-07,1.410869167594668e-07,0.022504502947447554,0.018886662204995474,0.01363269639636891,3.480700588428413e-06,1.9662286958026913e-07,membrane,True
5.623413251903491e-06,5.623413251903491e-07,28.599995839282542,10.018607881493805,2.7829466337482803e-07,1.6697679802489677e-07,1.5460814631934887e-07,0.015077631416301057,0.013341276061073182,0.0075837902987179176,5.623413251903491e-06,1.9662286958026913e-07,membrane,True
9.08517575651688e-06,9.08517575651688e-07,46.20609889333324,10.46974372701753,2.908262146393759e-07,1.744957287836255e-07,1.615701192440977e-07,0.011253594683005803,0.010342888329555077,0.004326144171402646,9.08517575651688e-06,1.9662286958026913e-07,membrane,True
1.4677992676220705e-05,1.4677992676220707e-06,74.6504855083939,10.711592593521814,2.975442387089394e-07,1.7852654322536358e-07,1.6530235483829963e-07,0.009203571483589903,0.008693967628389443,0.0025382379522881746,1.4677992676220705e-05,1.9662286958026913e-07,membrane,True
2.3713737056616554e-05,2.3713737056616556e-06,120.60518243497448,10.847706319734126,3.013251755481702e-07,1.807951053289021e-07,1.67402875304539e-07,0.008049808389611323,0.007753053864257858,0.0015191024581519877,2.3713737056616554e-05,1.9662286958026913e-07,membrane,True
3.831186849557293e-05,3.831186849557293e-06,194.84950340393914,10.927038737504905,3.0352885381958076e-07,1.821173122917484e-07,1.6862714101087818e-07,0.007377350009938182,0.00720035789046194,0.0009208157923945613,3.831186849557293e-05,1.9662286958026913e-07,membrane,True
6.18965818891261e-05,6.18965818891261e-06,314.7984871813576,10.974335792634964,3.048426609065269e-07,1.829055965439161e-07,1.6935703383695936e-07,0.006976438226964801,0.006869342540278812,0.0005626198074632072,6.18965818891261e-05,1.9662286958026913e-07,membrane,True
0.0001,1e-05,508.58783728195004,11.0029377857186,3.056371607144056e-07,1.8338229642864333e-07,1.6979842261911421e-07,0.006733994463558821,0.006668622452100217,0.0003454627482102041,0.0001,1.9662286958026913e-07,membrane,True
