Vmax_A_mol_m2_s,eps_membrane,apical_ratio,Da,clearance_uL_min_cm2
3.1622776601683795e-09,0.2,10.0,0.03618665901157639,0.14342264993565315
5.623413251903491e-09,0.2,10.0,0.06434999063838573,0.2532515410737164
1e-08,0.2,10.0,0.11443226338843876,0.4446522838710147
1.7782794100389228e-08,0.2,10.0,0.20349253782781151,0.7725233759923679
3.162277660168379e-08,0.2,10.0,0.36186659011576383,nan
5.6234132519034905e-08,0.2,10.0,0.6434999063838571,2.147291092194412
1e-07,0.2,10.0,1.1443226338843875,nan
1.7782794100389227e-07,0.2,10.0,2.034925378278115,4.1097849840218466
3.162277660168379e-07,0.2,10.0,3.6186659011576383,4.60774997465284
5.62341325190349e-07,0.2,10.0,6.434999063838571,4.843546174227783
1e-06,0.2,10.0,11.443226338843877,4.959052361361098
1.7782794100389227e-06,0.2,10.0,20.34925378278115,5.018678157863087
3.162277660168379e-06,0.2,10.0,36.18665901157638,5.0505808891484065
5.623413251903491e-06,0.2,10.0,64.34999063838572,5.068019723033405
9.999999999999999e-06,0.2,10.0,114.43226338843876,5.077670313537599
1.778279410038923e-05,0.2,10.0,203.49253782781153,5.083048388440084
3.1622776601683795e-05,0.2,10.0,361.86659011576387,5.086057340398518
5.623413251903491e-05,0.2,10.0,643.4999063838571,5.087744556084572
0.0001,0.2,10.0,1144.3226338843876,5.088691818665927
0.00017782794100389227,0.2,10.0,2034.925378278115,5.089224020240532
0.00031622776601683794,0.2,10.0,3618.6659011576385,5.089523147297903
0.0005623413251903491,0.2,10.0,6434.9990638385725,5.089691310297578
0.001,0.2,10.0,11443.226338843877,5.089785860041188
1e-09,0.25,10.0,0.0091545810710751,nan
1.7782794100389228e-09,0.25,10.0,0.01627940302622492,0.08101343379700161
3.1622776601683795e-09,0.25,10.0,0.028949327209261105,0.14355916695003607
5.623413251903491e-09,0.25,10.0,0.051479992510708575,0.2536916931794031
1e-08,0.25,10.0,0.091545810710751,0.4460924734757424
1.7782794100389228e-08,0.25,10.0,0.1627940302622492,0.7773559199107529
3.162277660168379e-08,0.25,10.0,0.289493272092611,1.332031904122076
5.6234132519034905e-08,0.25,10.0,0.5147999251070857,2.209146068579961
1e-07,0.25,10.0,0.91545810710751,3.426190694624221
1.7782794100389227e-07,0.25,10.0,1.6279403026224917,4.67823927485728
3.162277660168379e-07,0.25,10.0,2.89493272092611,5.497714976324334
5.62341325190349e-07,0.25,10.0,5.147999251070857,5.903066076516756
1e-06,0.25,10.0,9.1545810710751,6.09926380040964
1.7782794100389227e-06,0.25,10.0,16.27940302622492,6.1989681320490915
3.162277660168379e-06,0.25,10.0,28.949327209261103,6.251747824768148
5.623413251903491e-06,0.25,10.0,51.47999251070858,6.280413495392973
9.999999999999999e-06,0.25,10.0,91.545810710751,6.296217996130857
1.778279410038923e-05,0.25,10.0,162.7940302622492,6.305006828171038
3.1622776601683795e-05,0.25,10.0,289.49327209261105,6.309918134892728
5.623413251903491e-05,0.25,10.0,514.7999251070856,6.31267019188235
0.0001,0.25,10.0,915.45810710751,6.314214703356838
0.00017782794100389227,0.25,10.0,1627.9403026224918,6.315082271547748
0.00031622776601683794,0.25,10.0,2894.9327209261105,6.315569833107247
0.0005623413251903491,0.25,10.0,5147.999251070857,6.315843911641772
0.001,0.25,10.0,9154.5810710751,6.315998006797737
1e-09,0.30000000000000004,10.0,0.00762881755922925,nan
1.7782794100389228e-09,0.30000000000000004,10.0,0.013566169188520764,0.08104180291679976
3.1622776601683795e-09,0.30000000000000004,10.0,0.024124439341050918,0.14364962417651994
5.623413251903491e-09,0.30000000000000004,10.0,0.0428999937589238,0.2539819690373209
1e-08,0.30000000000000004,10.0,0.07628817559229249,0.4470344391727595
1.7782794100389228e-08,0.30000000000000004,10.0,0.13566169188520766,0.7804720548993795
3.162277660168379e-08,0.30000000000000004,10.0,0.24124439341050916,1.3426701493417448
5.6234132519034905e-08,0.30000000000000004,10.0,0.42899993758923805,2.2470635479888252
1e-07,0.30000000000000004,10.0,0.762881755922925,3.5632884770903637
1.7782794100389227e-07,0.30000000000000004,10.0,1.3566169188520765,5.088839101791198
3.162277660168379e-07,0.30000000000000004,10.0,2.4124439341050916,6.262561466681918
5.62341325190349e-07,0.30000000000000004,10.0,4.28999937589238,6.889841766013938
1e-06,0.30000000000000004,10.0,7.628817559229249,7.194442572655748
