Vmax_A_mol_m2_s,Vmax_ap_mol_m2_s,apical_ratio,Da,clearance_uL_min_cm2,J_BM_mol_m2_s,J_OAT1_mol_m2_s,J_CD_mol_m2_s,c_extra_MC_mol_m3,c_cell_MC_mol_m3,c_cell_CD_mol_m3,J_OAT1_capacity_mol_m2_s,J_membrane_capacity_mol_m2_s,J_apical_capacity_mol_m2_s,bottleneck,success
5.011872336272714e-07,5.0118723362727144e-08,0.1,2.548977312238174,2.33096616677348,6.474906018815222e-08,3.884943611289133e-08,3.597170010452901e-08,0.0802416493040549,0.052193648150562995,0.05085409033211247,5.011872336272714e-07,1.9662286958026913e-07,5.0118723362727144e-08,apical,True
7.079457843841374e-07,7.079457843841374e-08,0.1,3.6005261539280213,3.214239343602261,8.928442621117395e-08,5.3570655726704356e-08,4.960245900620774e-08,0.07275461610913964,0.04865933111028919,0.04681217455169405,7.079457843841374e-07,1.9662286958026913e-07,7.079457843841374e-08,membrane,True
1e-06,1e-07,0.1,5.0858783728195,4.364141203024535,1.2122614452845935e-07,7.273568671707559e-08,6.73478580713663e-08,0.06300751461064397,0.04375970682943609,0.0412517255670028,1e-06,1.9662286958026913e-07,1e-07,membrane,True
1.4125375446227554e-06,1.4125375446227555e-07,0.1,7.183994148992432,5.762236714470577,1.6006213095751605e-07,9.603727857450962e-08,8.892340608750892e-08,0.051156609114841343,0.03729684587430648,0.0339854081696428,1.4125375446227554e-06,1.9662286958026913e-07,1.4125375446227555e-07,membrane,False
1.9952623149688787e-06,1.9952623149688787e-07,0.1,10.14766145580199,7.252031493634819,2.014453192676339e-07,1.2086719156058033e-07,1.119140662597966e-07,0.03852841644586493,0.02971520062007473,0.02554760881823683,1.9952623149688787e-06,1.9662286958026913e-07,1.9952623149688787e-07,membrane,True
2.818382931264449e-06,2.818382931264449e-07,0.1,14.33395279644149,8.542324338115186,2.3728678716986636e-07,1.4237207230191978e-07,1.3182599287214798e-07,0.027591295665878205,0.022484454131451066,0.017575357844138235,2.818382931264449e-06,1.9662286958026913e-07,2.818382931264449e-07,membrane,True
3.981071705534969e-06,3.981071705534969e-07,0.1,20.24724648782394,9.448684623289298,2.624634617580361e-07,1.5747807705482163e-07,1.4581303431002004e-07,0.01990856560484418,0.016988934093122507,0.011558971378901392,3.981071705534969e-06,1.9662286958026913e-07,3.981071705534969e-07,membrane,True
5.623413251903491e-06,5.623413251903491e-07,0.1,28.599995839282542,10.018607881489427,2.7829466337470637e-07,1.669767980248238e-07,1.5460814631928132e-07,0.015077631416289879,0.01334127606106352,0.007583790298712503,5.623413251903491e-06,1.9662286958026913e-07,5.623413251903491e-07,membrane,True
7.943282347242822e-06,7.943282347242822e-07,0.1,40.39856789904118,10.371152674146797,2.8808757428185553e-07,1.728525445691133e-07,1.600486523788086e-07,0.012089298188912793,0.011006713845996339,0.0050466279172024335,7.943282347242822e-06,1.9662286958026913e-07,7.943282347242822e-07,membrane,True
1.122018454301963e-05,1.122018454301963e-06,0.1,57.064493906387185,10.593999969763612,2.942777769378782e-07,1.7656666616272686e-07,1.6348765385437675e-07,0.010200341149585443,0.0094993650061112,0.0034112133654954787,1.122018454301963e-05,1.9662286958026913e-07,1.122018454301963e-06,membrane,True
1.584893192461114e-05,1.5848931924611143e-06,0.1,80.60574010766834,10.738772832592332,2.9829924534978705e-07,1.7897954720987222e-07,1.657218029721039e-07,0.008973179171809193,0.008506822311075184,0.002335472716026129,1.584893192461114e-05,1.9662286958026913e-07,1.5848931924611143e-06,membrane,True
2.238721138568338e-05,2.238721138568338e-06,0.1,113.85863421418557,10.83503777151229,3.00973271430897e-07,1.8058396285853816e-07,1.67207373017165e-07,0.008157192882907704,0.007841020674824005,0.0016143496200526223,2.238721138568338e-05,1.9662286958026913e-07,2.238721138568338e-06,membrane,True
3.1622776601683795e-05,3.1622776601683796e-06,0.1,160.82959560700615,10.90019108682012,3.027830857450034e-07,1.8166985144700202e-07,1.6821282541389076e-07,0.007604923153558642,0.007387755147226675,0.0011236418360842276,3.1622776601683795e-05,1.9662286958026913e-07,3.1622776601683796e-06,membrane,True
4.466835921509625e-05,4.466835921509625e-06,0.1,227.17784208139065,10.944861615917919,3.0402393377549786e-07,1.8241436026529868e-07,1.6890218543083213e-07,0.0072262750236470235,0.007075753775130235,0.0007859692391856877,4.466835921509625e-05,1.9662286958026913e-07,4.466835921509625e-06,membrane,True
6.309573444801929e-05,6.30957344480193e-06,0.1,320.89723124634367,10.975774494878419,3.0488262485773394e-07,1.829295749146403e-07,1.693792360320744e-07,0.006964243119337763,0.006859255970450197,0.0005517064453437966,6.309573444801929e-05,1.9662286958026913e-07,6.30957344480193e-06,membrane,True
8.912509381337459e-05,8.91250938133746e-06,0.1,453.2793871009509,10.997308914535182,3.054808031815329e-07,1.832884819089197e-07,1.697115573230738e-07,0.006781707387303838,0.006708156595382049,0.00038823168678770234,8.912509381337459e-05,1.9662286958026913e-07,8.91250938133746e-06,membrane,True
0.0001258925411794166,1.2589254117941661e-05,0.1,640.2741524836832,11.012380860041011,3.058994683344726e-07,1.8353968100068352e-07,1.69944149074707e-07,0.006653950584486095,0.006602263723263915,0.0002736772807840405,0.0001258925411794166,1.9662286958026913e-07,1.2589254117941661e-05,membrane,True
0.00017782794100389227,1.778279410038923e-05,0.1,904.4112792347178,11.022964956644604,3.0619347101790576e-07,1.837160826107434e-07,1.701074838988365e-07,0.006564234871129939,0.006527833622817365,0.00019316471995765036,0.00017782794100389227,1.9662286958026913e-07,1.778279410038923e-05,membrane,True
0.0002511886431509577,2.511886431509577e-05,0.1,1277.5148876993308,11.030415097538542,3.064004193760707e-07,1.8384025162564238e-07,1.7022245520892815e-07,0.006501084020385634,0.006475408637951588,0.00013645829393430078,0.0002511886431509577,1.9662286958026913e-07,2.511886431509577e-05,membrane,True
0.0003548133892335753,3.5481338923357534e-05,0.1,1804.537742689828,11.035668032166814,3.0654633422685606e-07,1.839278005361136e-07,1.7030351901492003e-07,0.006456557709352986,0.006438428187474856,9.645909108286797e-05,0.0003548133892335753,1.9662286958026913e-07,3.5481338923357534e-05,membrane,True
0.0005011872336272725,5.011872336272726e-05,0.1,2548.9773122381794,11.039376155524364,3.066493376534546e-07,1.8398960259207273e-07,1.703607431408081e-07,0.006425125935367539,0.006412314823701987,6.821474587196075e-05,0.0005011872336272725,1.9662286958026913e-07,5.011872336272726e-05,membrane,True
0.0007079457843841374,7.079457843841374e-05,0.1,3600.5261539280214,11.041995971305784,3.0672211031404966e-07,1.8403326618842976e-07,1.7040117239669426e-07,0.00640291916142501,0.006393861392939964,4.8255761410092546e-05,0.0007079457843841374,1.9662286958026913e-07,7.079457843841374e-05,membrane,True
0.001,0.0001,0.1,5085.8783728195,11.043847989869688,3.0677355527415806e-07,1.840641331644948e-07,1.704297529300878e-07,0.006387220593248569,0.00638081409052163,3.414414236347226e-05,0.001,1.9662286958026913e-07,0.0001,membrane,True
