A_BM_mm2,A_OAT1_mm2,Da_at_Vmax_equiv,P_m_m_s,Q_b_m3_s,Q_d_m3_s,V_blood_mm3,V_dialysate_mm3,length,lumen_fluid,name,r_apical,r_apical_mm,r_blood_membrane,r_blood_membrane_mm,r_housing,r_housing_mm,r_lumen_outer,r_lumen_outer_mm,r_oat1,r_oat1_mm,role
18.84955592153876,31.415926535897935,1695.2927909398336,1.966228695802691e-06,1.6667719823620644e-09,3.3829109516826398e-09,1.4137166941154067,198.9947618636847,0.02,blood,IO,0.00027,0.27,0.00015,0.15,0.0018,1.8,0.00015,0.15,0.00025,0.25,reference (thesis inside-out)
33.929200658769766,21.362830044410593,1044.0196300435312,3.192787987323905e-06,1.6667719823620644e-09,3.3829109516826398e-09,198.9947618636847,1.4137166941154067,0.02,dialysate,OI_original,0.00015,0.15,0.00027,0.27,0.0018,1.8,0.00015,0.15,0.00017,0.17,"control (thesis outside-in, unmatched area and blood volume)"
43.982297150257104,31.415926535897935,1116.6608144869667,2.9850902710012117e-06,1.6667719823620644e-09,3.3829109516826398e-09,1.4137166941154082,3.323805027498001,0.02,dialysate,OI_fair,0.00023,0.23,0.00035,0.35,0.0003807886552931954,0.38078865529319544,0.00023,0.23,0.00025,0.25,fair pair to IO (matched A_OAT1 and V_blood; hydrodynamics unmatched)
